Spectrum No,Lat,Lon,lheight,dose,Cs_G,TC_g
516,47.97078351,16.50730555,11.08715715,9.236232758,0,171.4814453
517,47.97079866,16.50727748,11.0385914,9.155030844,2.844143908,179.7486572
518,47.97081456,16.50724775,11.09290005,8.11698548,0,188.8892365
519,47.97083318,16.50721327,11.09840008,9.528373718,0,196.6806335
520,47.97085131,16.50718053,11.02141435,9.499874317,0,184.5870972
521,47.97086775,16.50715056,10.99713426,6.497409821,1.410453014,149.5762329
522,47.9708828,16.50712244,10.98,10.82622526,8.15821547,152.4060974
523,47.97089908,16.5070911,10.94539459,10.40645105,25.75142859,114.5103073
524,47.97091805,16.50705441,10.92595405,10.55132554,30.51402651,69.64431763
525,47.97093518,16.50702175,10.91684317,8.552234223,7.38222716,151.4635925
526,47.97095075,16.50699114,10.85568431,9.13303142,1.824970933,195.7810974
527,47.97096502,16.50696304,10.88448001,10.48381513,1.057428269,212.8777008
528,47.97098178,16.50693126,10.88232229,10.76360798,2.921817792,195.6259918
529,47.97100195,16.50689405,10.85476527,8.567112923,6.581413269,170.0940552
530,47.97101871,16.50686202,10.88245967,7.426980495,19.52690315,122.0454712
531,47.97103349,16.50683272,10.88994022,9.09739894,16.83800442,130.0305634
532,47.97104729,16.50680544,10.94287436,8.355283737,16.77082072,133.9209595
533,47.97106368,16.50677384,10.97301603,11.10056686,22.31964684,93.28981018
534,47.97108453,16.50673445,11.01182183,8.594038378,5.163498844,134.8114319
535,47.97110082,16.50670342,11.00067001,8.129379427,3.223508406,153.3937836
536,47.97111575,16.50667425,10.97187814,10.33634567,17.67659469,120.4413452
537,47.97113194,16.50664283,10.92544452,8.748184204,11.79545021,140.2696533
538,47.97115047,16.50660737,10.86515516,9.410286903,0,164.3574371
539,47.97116775,16.50657407,10.94083915,9.907180116,0,163.7726135
540,47.97118312,16.50654382,10.98,10.77656364,0.033800242,186.7863159
541,47.97119708,16.50651608,10.94460459,9.357860565,0,196.1770172
542,47.97121339,16.50648456,10.95718976,11.51840283,0,192.9762573
543,47.9712328,16.50644839,11.00377998,11.26631206,0,180.3570251
544,47.97124961,16.50641678,10.98313629,11.17006923,0,201.582962
545,47.97126463,16.50638773,10.98240482,10.86534977,8.309389716,205.6735229
546,47.9712784,16.50636059,10.99097097,11.94436455,10.74733472,202.18573
547,47.97129567,16.50632685,11.11900001,10.24024963,0,201.3004761
548,47.97131851,16.50628266,11.22555,11.2705382,0,186.8796844
549,47.97133046,16.50625911,11.23335001,10.48980638,1.415570559,210.361908
550,47.97134411,16.50623246,11.23663336,12.30305099,0,214.3451996
551,47.97136036,16.50620113,11.23338002,11.46179333,0,201.3748932
552,47.97137853,16.50616624,11.24108,13.6797992,11.5785435,186.524353
553,47.9713951,16.50613425,11.27470004,10.39907265,21.90854984,172.6992493
554,47.97141109,16.50610367,11.38796431,11.24340534,7.665980339,233.6979675
555,47.97142746,16.50607296,11.4423023,12.20308466,0,263.5552368
556,47.97144426,16.50604096,11.44224451,12.48127747,7.603862118,235.1062469
557,47.97146291,16.50600443,11.49244491,13.98450565,11.48490906,214.4304047
558,47.97147745,16.50597654,11.45692307,13.5090847,0,257.4374084
559,47.97149155,16.50594985,11.47450005,12.52383902,0.674655557,312.3711548
560,47.97150746,16.50591972,11.63054946,15.18169022,17.45726201,324.4390259
561,47.97152733,16.50588171,11.7251451,11.9619875,18.02612877,279.1122131
562,47.97154696,16.50584451,11.73460003,13.63152409,15.43159294,241.1582336
563,47.97156146,16.50581786,11.67092907,18.11995106,12.75507879,330.4346619
564,47.97157735,16.50578865,11.66454,17.18710662,3.442294762,358.7890625
565,47.97159331,16.50575847,11.69713719,15.54108524,9.259876785,274.9346313
566,47.97161138,16.50572405,11.72550449,14.73989554,14.39463748,266.3049622
567,47.97162914,16.50569056,11.71098197,15.84084331,0,328.4942017
568,47.97164402,16.5056628,11.66376755,19.62476309,0.557553613,286.4975586
569,47.97166073,16.5056306,11.64738738,13.87559128,12.11257629,187.461792
570,47.97167638,16.50559918,11.64797796,14.15056109,27.8394688,201.4305573
571,47.97169472,16.50556338,11.59623,18.11519814,10.65754911,317.8851929
572,47.97171143,16.505532,11.53400006,13.68787193,0,334.8059692
573,47.97172569,16.50550568,11.67384591,13.11404991,13.31279659,256.6228027
