timestamp,lat,lon,Total,Countrate,U238,K40,Th232,Cs137,Height,Press,Temp,Hum
1751446946704,47.97110441540712,16.507682762749877,442,165,31.225,84.84,18.274,21.196,243.23144222330572,997.2912379551123,35.79,33.458922693266835
1751446964720,47.97111498976459,16.507320006345957,450,140,24.37,63.753,33.977,-0.129,243.48158751279428,997.1412502994012,35.8,33.38874251497006
1751445988855,47.97113952673827,16.507801824081405,408,148,34.359,92.978,16.029,5.471,249.6184923685698,997.1100998003992,32.11178642714571,36.36821357285429
1751447060798,47.97114915968009,16.50694847440706,477,152,2.462,162.878,46.243,12.848,241.28082515168228,997.4683290322581,35.9,32.936840705021616
1751447108828,47.971149914836325,16.506608445723334,440,153,17.803,284.064,13.159,16.661,242.67326029567053,997.3712360159627,35.9329331559694,32.848799467908215
1751446943701,47.97115754889393,16.507580931593875,469,172,26.594,89.359,34.338,11.581,243.31119228587633,997.2803658682634,35.78,33.48
1751446967722,47.97116201919192,16.50722856193514,462,154,19.181,119.41,17.551,51.276,243.67628920786817,997.1189764471058,35.8,33.36960079840319
1751446826601,47.97117858343196,16.50785844023669,401,119,0.246,246.974,19.754,23.869,243.7985207100592,997.0824853293412,35.681347305389224,33.99
1751447216918,47.97118720581114,16.50744003153753,397,118,18.489,105.612,23.642,0.926,265.156088377724,995.9247539152119,36.16,32.50541645885287
1751445985852,47.97119674344484,16.50762445990054,417,138,23.001,287.151,11.046,18.574,250.26410985533454,997.1019597007481,32.08361097256858,36.41638902743142
1751447057797,47.97119689444444,16.506856616666667,463,154,27.265,248.83,25.572,-2.19,241.25733333333332,997.4519688726306,35.9,32.94
1751447111831,47.97119884796748,16.506513058536587,463,141,15.731,136.238,33.147,6.569,242.52222764227642,997.369899235118,35.94,32.86124043897572
1751446823599,47.97120331951351,16.50796387464865,444,147,34.916,75.471,8.095,18.921,244.0421281081081,997.0797423940149,35.68,34.01451371571073
1751446940698,47.97120510281827,16.507492862196308,472,155,10.667,198.255,28.011,13.298,243.2645850340136,997.2766950124687,35.78,33.49885286783042
1751446970726,47.97121137784431,16.50713342754491,477,150,12.568,83.522,33.986,35.523,243.75300898203594,997.1114076846308,35.800384231536924,33.33923153692615
1751446829603,47.97122280674157,16.50776820636704,425,121,33.651,148.073,11.508,1.461,243.5468576779026,997.066703990025,35.69,33.98601995012469
1751447054795,47.971247416340425,16.506761001617022,438,167,15.541,132.673,26.411,32.176,241.2772578723404,997.4326391752577,35.9,32.95360824742268
1751447114832,47.971248982626925,16.506417674755472,518,164,29.243,228.693,19.037,23.917,242.40909129017234,997.3677070169605,35.94289990023279,32.84
1751446937695,47.97125612594697,16.507395961789772,473,154,13.641,121.907,39.797,12.675,243.2147481060606,997.2712944111777,35.77058882235529,33.51882235528942
1751446973729,47.97126462729539,16.507030159368508,439,136,3.375,244.272,36.383,6.629,243.81088824262568,997.1110753493014,35.81,33.328892215568864
1751446820597,47.97126826839457,16.508000267337696,422,139,18.006,57.236,29.869,9.74,244.55375339708104,997.0848393712575,35.68,34.04
1751446832606,47.97127704139453,16.507664390026477,446,157,19.408,230.501,20.305,14.393,243.67404677846426,997.0530488023952,35.69,33.96130738522954
