RECS_fid,Lat_deg,Lon_deg,DosPGIS_nGypH
475,47.974827,16.512678,45.73
476,47.974838,16.512667,44.249
477,47.974842,16.512655,44.357
478,47.97485,16.512644,45.852
479,47.974857,16.512632,46.457
480,47.974865,16.512619,46.852
481,47.974872,16.512607,46.95
482,47.97488,16.512596,48.524
483,47.974888,16.512586,48.682
484,47.974895,16.512575,46.884
485,47.974903,16.512567,48.376
486,47.974914,16.512556,48.102
487,47.974918,16.512546,47.937
488,47.974926,16.512535,48.887
489,47.97493,16.512524,49.46
490,47.974934,16.51251,50.018
491,47.974937,16.512497,50.862
492,47.974941,16.512486,51.683
493,47.974949,16.512474,51.83
494,47.974956,16.512468,50.305
495,47.974964,16.512463,51.179
496,47.974972,16.512463,50.156
497,47.974983,16.512466,49.619
498,47.974987,16.512476,51.235
499,47.974991,16.512491,50.337
500,47.974987,16.512504,49.404
501,47.974983,16.512516,48.731
502,47.974975,16.512527,48.718
503,47.974968,16.512539,49.281
504,47.97496,16.51255,48.061
505,47.974956,16.512562,46.996
506,47.974949,16.512573,48.511
507,47.974945,16.512585,48.42
508,47.974937,16.512596,47.76
509,47.97493,16.512607,47.164
510,47.974922,16.512619,47.365
511,47.974918,16.51263,46.502
512,47.974911,16.512642,45.914
513,47.974907,16.512653,45.646
514,47.974899,16.512665,46.151
515,47.974895,16.512676,47.871
516,47.974888,16.51269,47.624
517,47.97488,16.512701,47.877
518,47.974876,16.512712,49.629
519,47.974869,16.512726,49.454
520,47.974865,16.512739,48.443
521,47.974861,16.512758,48.63
522,47.974853,16.512773,48.34
523,47.974846,16.512787,48.942
524,47.974838,16.512798,49.251
525,47.974834,16.51281,50.767
526,47.974831,16.512821,50.678
527,47.974827,16.512831,49.272
528,47.974819,16.51284,51.189
529,47.974812,16.51285,49.783
530,47.974812,16.512859,52.031
531,47.974815,16.512867,52.606
532,47.974827,16.512869,51.892
533,47.974838,16.512863,51.937
534,47.974846,16.512854,52.416
535,47.974853,16.51284,51.525
536,47.974861,16.512827,52.052
537,47.974865,16.512815,53.434
538,47.974876,16.512806,54.855
539,47.97488,16.512796,54.441
540,47.974888,16.512789,54.609
541,47.974892,16.512779,55.246
542,47.974895,16.512766,54.52
543,47.974899,16.512752,51.529
544,47.974903,16.512743,51.663
545,47.974911,16.512735,50.479
546,47.974918,16.51273,50.481
547,47.974926,16.512722,51.063
548,47.97493,16.512712,53.429
549,47.974937,16.512705,57.784
550,47.974937,16.512703,63.631
551,47.974937,16.512703,66.594
552,47.974937,16.512701,70.506
553,47.974937,16.512699,67.931
554,47.974941,16.512691,68.908
555,47.974949,16.512682,70.35
556,47.974953,16.512672,71.758
557,47.974956,16.512659,68.195
558,47.974964,16.512649,67.551
559,47.974964,16.51264,64.483
560,47.974972,16.512632,63.946
561,47.974975,16.512621,60.81
562,47.974983,16.512615,59.215
563,47.974991,16.512607,55.628
564,47.974995,16.512594,56.275
565,47.974998,16.512585,57.124
566,47.975002,16.512581,56.422
567,47.975006,16.512581,55.826
568,47.97501,16.512575,55.255
569,47.975014,16.512567,54.953
570,47.975021,16.51256,53.4
571,47.975025,16.512554,54.029
572,47.975029,16.512554,54.137
573,47.975029,16.512554,52.451
574,47.975029,16.512558,51.228
575,47.975029,16.512562,50.618
576,47.975029,16.512562,50.783
577,47.975029,16.512562,51.329
578,47.975029,16.512562,52.847
579,47.975029,16.512562,52.453
580,47.975029,16.512562,52.356
581,47.975029,16.512562,52.517
582,47.975029,16.51256,52.503
583,47.975029,16.512554,50.687
584,47.975033,16.512548,49.17
585,47.975033,16.512548,48.168
586,47.975033,16.512552,47.692
587,47.975033,16.512554,46.92
588,47.975033,16.512554,46.14
589,47.975033,16.512554,46.927
590,47.975033,16.512554,48.556
591,47.975033,16.512554,48.59
592,47.975033,16.512554,48.387
593,47.975033,16.512554,49.29
594,47.975033,16.512554,49.859
595,47.975033,16.512554,49.268
596,47.975033,16.512554,47.249
597,47.975033,16.512554,46.882
598,47.975033,16.512554,45.942
599,47.975033,16.512554,47.173
600,47.975033,16.512554,48.428
601,47.975033,16.512554,48.569
602,47.975033,16.512554,49.261
603,47.975033,16.512554,50.071
604,47.975033,16.512554,48.912
605,47.975033,16.512554,47.981
606,47.975033,16.512552,48.273
607,47.975037,16.512552,47.835
608,47.975037,16.512552,48.463
609,47.975037,16.512552,48.693
610,47.975037,16.512552,46.647
611,47.975037,16.512552,48.52
612,47.975037,16.512552,48.108
613,47.975037,16.512552,49.386
614,47.975037,16.512552,48.489
615,47.975037,16.512552,48.179
616,47.975044,16.512558,49.911
617,47.97506,16.512566,52.136
618,47.975063,16.512575,50.67
619,47.975063,16.512586,48.983
620,47.975056,16.512602,48.431
621,47.975052,16.512617,47.867
622,47.975044,16.512625,49.744
623,47.975037,16.512636,47.864
624,47.975033,16.512646,48.559
625,47.975021,16.512653,49.087
626,47.975014,16.512663,49.699
627,47.97501,16.512672,49.978
628,47.975002,16.512682,48.915
629,47.974998,16.512693,47.994
630,47.974991,16.512705,51.016
631,47.974983,16.512716,61.305
632,47.974975,16.51273,82.398
633,47.974972,16.512743,90.484
634,47.974964,16.512754,90.663
635,47.974956,16.512766,82.573
636,47.974953,16.512773,77.62
637,47.974953,16.512779,72.888
638,47.974945,16.512787,70.143
639,47.974937,16.512798,64.977
640,47.97493,16.512812,62.742
641,47.974922,16.512823,59.885
642,47.974918,16.512835,54.169
643,47.974911,16.512848,54.921
644,47.974903,16.512857,52.628
645,47.974895,16.512869,52.278
646,47.974888,16.512878,51.217
647,47.974876,16.512886,50.145
648,47.974872,16.512897,49.11
649,47.974865,16.512907,49.462
650,47.974861,16.512915,49.088
651,47.974861,16.512928,50.11
652,47.974865,16.512939,50.195
653,47.974876,16.512943,50.831
654,47.974884,16.512937,52.499
655,47.974892,16.51293,53.071
656,47.974895,16.512916,52.452
657,47.974903,16.512903,49.968
658,47.974907,16.512892,48.275
659,47.974914,16.512882,49.6
660,47.974918,16.512871,47.264
661,47.974926,16.512861,47.934
662,47.97493,16.512852,46.397
663,47.974937,16.51284,45.819
664,47.974945,16.512831,45.732
665,47.974945,16.512819,46.387
666,47.974953,16.512812,48.814
667,47.974956,16.512808,49.635
668,47.974964,16.512804,52.301
669,47.974972,16.512794,55.768
670,47.974979,16.512783,56.623
671,47.974987,16.512775,59.116
672,47.974995,16.512764,61.74
673,47.975002,16.512752,60.407
674,47.97501,16.512737,57.47
675,47.975021,16.51272,57.012
676,47.975029,16.512707,53.427
677,47.975037,16.512697,52.983
678,47.975048,16.512686,51.436
679,47.975056,16.512676,50.325
680,47.975063,16.512667,49.184
681,47.975067,16.512655,49.433
682,47.975071,16.512646,49.005
683,47.975075,16.512636,47.826
684,47.975082,16.512628,46.771
685,47.97509,16.512627,46.347
686,47.975101,16.512634,46.834
687,47.975105,16.512642,46.846
688,47.975113,16.512651,47.107
689,47.975117,16.512661,47.122
690,47.975117,16.512672,47.686
691,47.975113,16.51268,46.968
692,47.975109,16.51269,46.534
693,47.975101,16.512699,46.515
694,47.975098,16.512711,46.946
695,47.97509,16.51272,46.861
696,47.975082,16.51273,46.117
697,47.975075,16.512741,45.892
698,47.975071,16.512752,47.808
699,47.975063,16.512762,48.59
700,47.975056,16.51277,47.219
701,47.975048,16.512779,46.838
702,47.97504,16.512789,49.557
703,47.975033,16.5128,48.2
704,47.975029,16.512812,52.282
705,47.975021,16.512819,51.802
706,47.975014,16.512831,51.512
707,47.97501,16.51284,54.293
708,47.975002,16.512852,57.107
709,47.974998,16.512859,56.161
710,47.974991,16.512867,55.533
711,47.974987,16.512873,53.287
712,47.974979,16.512882,52.341
713,47.974972,16.512888,51.403
714,47.974964,16.512897,49.817
715,47.974956,16.512905,50.849
716,47.974949,16.512913,48.077
717,47.974945,16.512924,47.313
718,47.974934,16.512934,47.543
719,47.97493,16.512945,47.525
720,47.974922,16.512957,48.617
721,47.974918,16.512968,48.031
722,47.974918,16.51298,49.633
723,47.974926,16.512989,48.797
724,47.974934,16.512989,48.175
725,47.974941,16.512987,49.182
726,47.974949,16.51298,47.349
727,47.974956,16.512976,46.311
728,47.974964,16.51297,46.478
729,47.974972,16.51296,48.142
730,47.974979,16.512951,47.577
731,47.974983,16.512939,46.998
732,47.974991,16.512928,46.601
733,47.974995,16.512915,47.117
734,47.974998,16.512901,47.78
735,47.975006,16.51289,48.658
736,47.97501,16.512882,49.957
737,47.975014,16.512871,50.78
738,47.975017,16.512857,50.456
739,47.975025,16.512846,50.21
740,47.975033,16.512836,50.441
741,47.975044,16.512825,51.678
742,47.975052,16.512814,50.751
743,47.975063,16.512802,50.177
744,47.975071,16.512791,48.543
745,47.975078,16.512779,48.062
746,47.975086,16.512766,48.5
747,47.975094,16.512756,47.901
748,47.975101,16.512743,47.61
749,47.975109,16.51273,49.224
750,47.975117,16.51272,48.454
751,47.975124,16.512709,47.17
752,47.975128,16.512699,46.628
753,47.97514,16.51269,46.139
754,47.975147,16.512686,48.265
755,47.975155,16.512691,48.596
756,47.975159,16.512701,46.119
757,47.975162,16.512712,46.323
758,47.975162,16.512726,45.949
759,47.975155,16.512739,45.279
760,47.975151,16.512752,45.84
761,47.975143,16.512766,47.544
762,47.975132,16.512775,47.695
763,47.975128,16.512787,48.159
764,47.975124,16.512802,50.305
765,47.975117,16.512814,50.178
766,47.975105,16.512821,47.98
767,47.975098,16.512831,48.223
768,47.97509,16.51284,48.918
769,47.975078,16.512854,46.601
770,47.975075,16.512863,45.863
771,47.975071,16.512871,47.667
772,47.975067,16.512882,48.3
773,47.975063,16.512894,49.547
774,47.975056,16.512905,49.055
775,47.975048,16.512916,48.479
776,47.97504,16.512928,48.228
777,47.975033,16.512939,49.38
778,47.975025,16.512951,48.725
779,47.975021,16.512962,50.596
780,47.97501,16.512976,48.571
781,47.975006,16.512987,47.177
782,47.974998,16.512998,47.383
783,47.974991,16.51301,45.83
784,47.974983,16.513019,46.752
785,47.974979,16.513029,47.584
786,47.974972,16.513035,47.475
787,47.974972,16.513042,48.597
788,47.974972,16.51305,49.167
789,47.974975,16.513054,49.495
790,47.974987,16.513052,48.698
791,47.974998,16.513046,48.146
792,47.975006,16.513042,49.134
793,47.975017,16.513033,50.714
794,47.975025,16.513025,51.46
795,47.975033,16.513014,52.334
796,47.97504,16.513002,53.119
797,47.975048,16.512991,52.065
798,47.975056,16.512983,52.63
799,47.975063,16.512974,51.812
800,47.975071,16.512962,49.879
801,47.975078,16.512951,49.991
802,47.975086,16.512941,48.514
803,47.975094,16.512936,48.443
804,47.975101,16.512924,50.773
805,47.975109,16.512913,49.238
806,47.975117,16.512899,50.536
